max_prob,dil_thr_km,min_rng_km,rel_velo_kms,sat1_days_epoch,sat2_days_epoch,sat1_name,sat2_name,ID,tca_time,start_time,stop_time,extract_date,sat1_norad,sat2_norad,tca_rounded
2.543e-05,0.1,0.408,4.637,5.687,6.289,STARLINK-1506,STARLINK-2192,45747-47769,2022-05-19 13:35:02.003,2022 May 19 13:35:00.929,2022 May 19 13:35:03.078,2022-05-14 20:18:07,45747,47769,2022-05-19 13:35:00
0.00018769999999999998,0.052000000000000005,0.107,14.043,5.75,5.899,STARLINK-1559,ELSA-D,46077-47944,2022-05-25 16:13:05.687,2022 May 25 16:13:05.331,2022 May 25 16:13:06.043,2022-05-21 00:39:50,46077,47944,2022-05-25 16:15:00
1.576e-05,0.127,0.518,4.646,6.256,6.582000000000001,STARLINK-1559,STARLINK-2252,46077-48595,2022-05-23 22:13:31.251,2022 May 23 22:13:30.180,2022 May 23 22:13:32.321,2022-05-18 20:47:37,46077,48595,2022-05-23 22:15:00
0.0008324999999999999,0.018000000000000002,0.069,6.962999999999999,7.053,7.178,STARLINK-1043,STARLINK-1631,44748-46151,2022-05-24 09:12:37.791,2022 May 24 09:12:37.073,2022 May 24 09:12:38.509,2022-05-18 20:47:37,44748,46151,2022-05-24 09:15:00
1.604e-05,0.126,0.513,4.645,4.592,4.332,STARLINK-1631,STARLINK-2322,46151-47791,2022-05-24 09:15:03.341,2022 May 24 09:15:02.270,2022 May 24 09:15:04.412,2022-05-21 00:39:50,46151,47791,2022-05-24 09:15:00
1.091e-05,0.157,0.608,6.51,6.622000000000001,6.547999999999999,STARLINK-1654,STARLINK-2555,46326-48291,2022-05-29 01:38:19.469,2022 May 29 01:38:18.707,2022 May 29 01:38:20.232,2022-05-31 01:26:21,46326,48291,2022-05-29 01:40:00
1.058e-05,0.16699999999999998,0.589,8.95,6.114,6.018,STARLINK-1725,STARLINK-2279,46334-47991,2022-05-23 14:25:48.960,2022 May 23 14:25:48.405,2022 May 23 14:25:49.515,2022-05-18 20:47:38,46334,47991,2022-05-23 14:25:00
1.239e-05,0.154,0.544,8.933,5.496,5.452000000000001,STARLINK-1763,STARLINK-2567,46364-48276,2022-05-15 16:50:59.422,2022 May 15 16:50:58.865,2022 May 15 16:50:59.978,2022-05-11 11:58:20,46364,48276,2022-05-15 16:50:00
0.000195,0.036000000000000004,0.147,4.64,2.237,2.157,STARLINK-1763,STARLINK-2294,46364-48020,2022-05-12 21:45:53.451,2022 May 12 21:45:52.374,2022 May 12 21:45:54.528,2022-05-11 19:55:32,46364,48020,2022-05-12 21:45:00
0.00045,0.027000000000000003,0.087,10.222000000000001,1.119,1.103,STARLINK-1709,STARLINK-2309,46561-47995,2022-05-19 06:05:19.282,2022 May 19 06:05:18.793,2022 May 19 06:05:19.771,2022-05-19 11:42:51,46561,47995,2022-05-19 06:05:00
1.686e-05,1.54,3.846,13.03,6.752000000000001,6.8,COSMOS 1461,STARLINK-1683,14064-46578,2022-04-27 07:21:41.136,2022 Apr 27 07:21:40.891,2022 Apr 27 07:21:41.381,2022-04-22 12:36:17,14064,46578,2022-04-27 07:20:00
1.154e-05,1.861,4.65,13.03,5.081,5.141,COSMOS 1461,STARLINK-1683,14064-46578,2022-04-27 07:21:40.550,2022 Apr 27 07:21:40.409,2022 Apr 27 07:21:40.691,2022-04-23 12:15:40,14064,46578,2022-04-27 07:20:00
